game_id,title,region,system,language,updated_from_redump
SLUS-00695,Clock Tower II - The Struggle Within (USA),NTSC-U,PSX,E,1
SCUS-94409,Codename - Tenka (USA),NTSC-U,PSX,E,1
SCUS-94474,Colin McRae Rally (USA),NTSC-U,PSX,E,1
SLUS-01222,"Colin McRae Rally 2.0 (USA) (En,Fr,Es)",NTSC-U,PSX,E,1
SLUS-00196,College Slam (USA),NTSC-U,PSX,E,1
SLUS-00543,Colony Wars (USA) (Disc 1),NTSC-U,PSX,E,1
SLUS-00554,Colony Wars (USA) (Disc 2),NTSC-U,PSX,E,1
SLUS-00722,Colony Wars - Vengeance (USA),NTSC-U,PSX,E,1
SLUS-00866,Colony Wars - Red Sun (USA),NTSC-U,PSX,E,1
SLUS-00379,Command & Conquer (USA) (Disc 1) (GDI),NTSC-U,PSX,E,1
SLUS-00410,Command & Conquer (USA) (Disc 2) (NOD),NTSC-U,PSX,E,1
SLUS-00431,Command & Conquer - Red Alert (USA) (Disc 1) (Allies),NTSC-U,PSX,E,1
SLUS-00485,Command & Conquer - Red Alert (USA) (Disc 2) (Soviet),NTSC-U,PSX,E,1
SLUS-00665,Command & Conquer - Red Alert - Retaliation (USA) (Disc 1) (Allies),NTSC-U,PSX,E,1
SLUS-00667,Command & Conquer - Red Alert - Retaliation (USA) (Disc 2) (Soviet),NTSC-U,PSX,E,1
SCUS-94294,Contender (USA),NTSC-U,PSX,E,1
SCUS-94494,Contender 2 (USA),NTSC-U,PSX,E,1
SLUS-01305,CONTENDER 2,NTSC-U,PSX,E,0
SLUS-00288,Contra - Legacy of War (USA),NTSC-U,PSX,E,1
SCUS-94356,Cool Boarders (USA),NTSC-U,PSX,E,1
SCUS-94358,Cool Boarders 2 (USA) (Beta) (1997-08-25),NTSC-U,PSX,E,1
SCUS-94251,Cool Boarders 3 (USA) (Beta) (1998-07-01),NTSC-U,PSX,E,1
SCUS-94559,Cool Boarders 4 (USA),NTSC-U,PSX,E,1
SCUS-94597,Cool Boarders 2001 (USA),NTSC-U,PSX,E,1
SLUS-00898,Countdown Vampires (USA) (Disc 1),NTSC-U,PSX,E,1
SLUS-01199,Countdown Vampires (USA) (Disc 2),NTSC-U,PSX,E,1
SLUS-00442,COURIER CRISIS,NTSC-U,PSX,E,0
SLUS-01151,Covert Ops - Nuclear Dawn (USA) (Disc 1),NTSC-U,PSX,E,1
SLUS-01157,Covert Ops - Nuclear Dawn (USA) (Disc 2),NTSC-U,PSX,E,1
SCUS-94900,Crash Bandicoot (USA) (Beta) (1996-05-14),NTSC-U,PSX,E,1
SCUS-94154,Crash Bandicoot 2 - Cortex Strikes Back (USA) (Beta) (1997-09-30),NTSC-U,PSX,E,1
SCUS-94244,Crash Bandicoot - Warped (USA) (Beta) (1998-07-16),NTSC-U,PSX,E,1
SCUS-94570,Crash Bash (USA),NTSC-U,PSX,E,1
SCUS-94426,CTR - Crash Team Racing (USA) (Beta) (1999-08-05),NTSC-U,PSX,E,1
SLUS-01438,Creatures (USA),NTSC-U,PSX,E,1
SLUS-01553,Creatures - Raised in Space (USA),NTSC-U,PSX,E,1
SLUS-00576,Crime Killer (USA),NTSC-U,PSX,E,1
SLUS-00428,Critical Depth (USA),NTSC-U,PSX,E,1
SLUS-00046,CRITICOM - CRITICAL COMBAT,NTSC-U,PSX,E,0
SLUS-00530,Croc - Legend of the Gobbos (USA),NTSC-U,PSX,E,1
SLUS-00634,Croc 2 (USA),NTSC-U,PSX,E,1
SLUS-01342,Crossroad Crisis (USA),NTSC-U,PSX,E,1
SLUS-00268,Crusader - No Remorse (USA),NTSC-U,PSX,E,1
SLUS-00799,Crusaders of Might and Magic (USA),NTSC-U,PSX,E,1
SLUS-00335,Crypt Killer (USA),NTSC-U,PSX,E,1
SLUS-01422,Cubix Robots for Everyone - Race 'n Robots (USA),NTSC-U,PSX,E,1
SLUS-00116,CyberSpeed (USA) (Rev 1),NTSC-U,PSX,E,1
SLUS-00053,Cyberia (USA),NTSC-U,PSX,E,1
SLUS-00008,CyberSled (USA),NTSC-U,PSX,E,1
SLUS-01004,CyberTiger (USA),NTSC-U,PSX,E,1
SLUS-01280,Dance Dance Revolution (USA),NTSC-U,PSX,E,1
SLUS-01281,Dance Dance Revolution - Disney Mix (USA),NTSC-U,PSX,E,1
SLUS-01446,Dance Dance Revolution Konamix (USA),NTSC-U,PSX,E,1
SLUS-00881,Danger Girl (USA),NTSC-U,PSX,E,1
SLUS-00300,Dare Devil Derby 3D (USA),NTSC-U,PSX,E,1
SLUS-00457,"Darklight Conflict (USA) (En,Fr,De,Es,It,Sv)",NTSC-U,PSX,"E, F, G, I, S, Sw",1
SLUS-00036,Darkstalkers - The Night Warriors (USA),NTSC-U,PSX,E,1
SLUS-00745,Darkstalkers 3 (USA),NTSC-U,PSX,E,1
SLUS-01182,Darkstone (USA),NTSC-U,PSX,E,1
SLUS-01026,Dave Mirra Freestyle BMX (USA) (Beta) (2000-08-21),NTSC-U,PSX,E,1
SLUS-01347,Dave Mirra Freestyle BMX - Maximum Remix (USA),NTSC-U,PSX,E,1
SLUS-01455,David Beckham Soccer (USA),NTSC-U,PSX,E,1
SLUS-00658,"DBZ - Dead Ball Zone (USA) (En,Fr,De,Es,It)",NTSC-U,PSX,E,1
SLUS-00693,Dead in the Water (USA),NTSC-U,PSX,E,1
SLUS-00606,Dead or Alive (USA) (Beta) (1998-01-09),NTSC-U,PSX,E,1
SLUS-01067,Deception III - Dark Delusion (USA),NTSC-U,PSX,E,1
